event_name,timestamp,parameters
open_position,87,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,88,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 27071403580, ""user_index"": 0}"
open_position,88,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,89,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 10243162763, ""user_index"": 0}"
open_position,89,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,90,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3502508948, ""user_index"": 0}"
open_position,90,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,91,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 803006069, ""user_index"": 0}"
open_position,91,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,92,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1157321707272, ""user_index"": 0}"
open_position,92,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,93,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 457631469181, ""user_index"": 0}"
open_position,93,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,94,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 181598250000, ""user_index"": 0}"
open_position,94,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,95,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 71856645196, ""user_index"": 0}"
open_position,95,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,96,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 28094733150, ""user_index"": 0}"
open_position,96,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,97,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 11823696944, ""user_index"": 0}"
open_position,97,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,98,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 4123444483, ""user_index"": 0}"
open_position,98,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,99,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1047090084, ""user_index"": 0}"
open_position,99,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
null,100,{}
open_position,100,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,101,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1633956556868, ""user_index"": 0}"
open_position,101,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,102,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 644149044266, ""user_index"": 0}"
open_position,102,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,103,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 551622621647, ""user_index"": 0}"
open_position,103,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,104,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 218889957498, ""user_index"": 0}"
open_position,104,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,105,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 86715584838, ""user_index"": 0}"
open_position,105,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,106,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 34025280809, ""user_index"": 0}"
open_position,106,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,107,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 14192320035, ""user_index"": 0}"
open_position,107,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,108,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 4640402636127, ""user_index"": 0}"
open_position,108,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,109,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1928720342597, ""user_index"": 0}"
open_position,109,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,110,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 785122065826, ""user_index"": 0}"
open_position,110,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,111,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 315821344100, ""user_index"": 0}"
open_position,111,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
